"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_classif.label","note_indicator.label","note_source.label"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",2.206,,"Frequency: Monthly",
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",6.437,,"Frequency: Monthly",
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2005M12",12.259,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2005M12",11.082,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",7.48,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Albania","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.689,,"Frequency: Monthly",
"Albania","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.399,,"Frequency: Monthly",
"Andorra","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.114,,"Frequency: Monthly",
"Andorra","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",1.964,"Nonstandard COICOP classification: Food, beverages and tobacco","Frequency: Monthly",
"Netherlands Antilles","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",1.714,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",7.459,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2013M12",10.946,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2013M12",9.323,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",4.545,,"Frequency: Monthly",
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",6.245,,"Frequency: Monthly",
"American Samoa","CPS - Retail Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2011M11",7.966,"Nonstandard COICOP classification: Excluding rents","Frequency: Monthly",
"American Samoa","CPS - Retail Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2011M11",4.697,,"Frequency: Monthly",
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2001M12",1.681,,"Frequency: Monthly",
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2001M12",2.951,,"Frequency: Monthly",
"Austria","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",1.007,,"Frequency: Monthly",
"Austria","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.974,,"Frequency: Monthly",
"Azerbaijan","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2010M12",7.932,,"Frequency: Monthly",
"Azerbaijan","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2010M12",12.689,"Nonstandard COICOP classification: Food, beverages and tobacco","Frequency: Monthly",
"Burundi","CPS - Consumer Price Index for households in Bujumbura","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2013M12",9.015,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Burundi","CPS - Consumer Price Index for households in Bujumbura","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2013M12",10.712,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Belgium","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.383,,"Frequency: Monthly",
