"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_classif.label","note_indicator.label","note_source.label"
"American Samoa","CPS - Retail Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2011Q4",7.966,"Nonstandard COICOP classification: Excluding rents","Frequency: Quarterly",
"American Samoa","CPS - Retail Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2011Q4",4.697,,"Frequency: Quarterly",
"Cook Islands","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014Q4",2.593,,"Frequency: Quarterly","Geographical coverage: Main city or metropolitan area"
"Cook Islands","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014Q4",2.732,"Nonstandard COICOP classification: Food","Frequency: Quarterly","Geographical coverage: Main city or metropolitan area"
"Falkland Islands, Malvinas","CPS - Retail Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2003Q4",2.022,,"Frequency: Quarterly","Geographical coverage: Main city or metropolitan area"
"Faroe Islands","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014Q4",-0.586,,"Frequency: Four times a year: January, April, July and October",
"Faroe Islands","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014Q4",0.079,,"Frequency: Four times a year: January, April, July and October",
"Gibraltar","CPS - Index of Retail Prices","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014Q4",1.41,,"Frequency: Four times a year: January, April, July and October",
"Gibraltar","CPS - Index of Retail Prices","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014Q4",1.268,,"Frequency: Four times a year: January, April, July and October",
"Guam","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014Q4",1.813,,"Frequency: Quarterly",
"Guam","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014Q4",6.723,"Nonstandard COICOP classification: Food and beverages","Frequency: Quarterly",
"Jersey","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014Q4",1.343,,"Frequency: Four times a year: March, June, September and December",
"Jersey","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014Q4",-0.483,,"Frequency: Four times a year: March, June, September and December",
"Lesotho","CPS - Consumer Price Survey, Main City","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","1988Q4",12.828,,"Frequency: Four times a year: January, April, July and October","Geographical coverage: Main city or metropolitan area"
"Lesotho","CPS - Consumer Price Survey, Main City","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","1988Q4",8.7,,"Frequency: Four times a year: January, April, July and October","Geographical coverage: Main city or metropolitan area"
"Marshall Islands","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2009Q1",5.566,,"Frequency: Quarterly","Geographical coverage: Main city or metropolitan area"
"Marshall Islands","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2009Q1",19.029,,"Frequency: Quarterly","Geographical coverage: Main city or metropolitan area"
"Northern Mariana Islands","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2009Q4",5.6,,"Frequency: Quarterly","Geographical coverage: Main city or metropolitan area"
"Northern Mariana Islands","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2009Q4",6.1,,"Frequency: Quarterly","Geographical coverage: Main city or metropolitan area"
"Malawi","CPS - Consumer Price Survey, high Income Group","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","1992Q4",26.557,"Nonstandard COICOP classification: Excluding rents","Frequency: Four times a year: January, April, July and October","Geographical coverage: Main city or metropolitan area | Population coverage: High income group"
"Malawi","CPS - Consumer Price Survey, high Income Group","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","1992Q4",27.246,,"Frequency: Four times a year: January, April, July and October","Geographical coverage: Main city or metropolitan area | Population coverage: High income group"
"Norfolk Island","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2011Q3",1.998,,"Frequency: Four times a year: March, June, September and December",
"Norfolk Island","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2011Q3",2.519,,"Frequency: Four times a year: March, June, September and December",
"Niue","CPS - Retail Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2010Q2",3.96,,"Frequency: Quarterly",
