"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_classif.label","note_indicator.label","note_source.label"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",1.262,,"Frequency: Monthly",
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",1.239,,"Frequency: Monthly",
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2005M12",1.288,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2005M12",0.318,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.73,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Albania","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.775,,"Frequency: Monthly",
"Albania","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",2.028,,"Frequency: Monthly",
"Andorra","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.408,,"Frequency: Monthly",
"Andorra","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.06,"Nonstandard COICOP classification: Food, beverages and tobacco","Frequency: Monthly",
"Netherlands Antilles","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.638,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.113,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M08",1.334,,"Frequency: Monthly",
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M08",1.182,"Nonstandard COICOP classification: Food and beverages","Frequency: Monthly",
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",2.985,,"Frequency: Monthly",
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",5.637,,"Frequency: Monthly",
"American Samoa","CPS - Retail Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2011M11",1.005,"Nonstandard COICOP classification: Excluding rents","Frequency: Monthly",
"American Samoa","CPS - Retail Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2011M11",1.01,,"Frequency: Monthly",
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2001M12",-0.008,,"Frequency: Monthly",
