"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_classif.label","note_indicator.label","note_source.label"
"American Samoa","CPS - Retail Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2011Q4",1.005,"Nonstandard COICOP classification: Excluding rents","Frequency: Quarterly",
"American Samoa","CPS - Retail Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2011Q4",1.01,,"Frequency: Quarterly",
"Cook Islands","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014Q4",0.997,,"Frequency: Quarterly","Geographical coverage: Main city or metropolitan area"
"Cook Islands","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014Q4",0.996,"Nonstandard COICOP classification: Food","Frequency: Quarterly","Geographical coverage: Main city or metropolitan area"
"Falkland Islands, Malvinas","CPS - Retail Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2003Q1",1.025,,"Frequency: Quarterly","Geographical coverage: Main city or metropolitan area"
"Faroe Islands","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014Q4",-0.503,,"Frequency: Four times a year: January, April, July and October",
"Faroe Islands","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014Q4",-0.158,,"Frequency: Four times a year: January, April, July and October",
"Gibraltar","CPS - Index of Retail Prices","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014Q4",-0.368,,"Frequency: Four times a year: January, April, July and October",
"Gibraltar","CPS - Index of Retail Prices","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014Q4",-0.161,,"Frequency: Four times a year: January, April, July and October",
"Guam","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014Q4",1.006,,"Frequency: Quarterly",
"Guam","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014Q4",1.018,"Nonstandard COICOP classification: Food and beverages","Frequency: Quarterly",
"Jersey","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014Q4",-0.502,,"Frequency: Four times a year: March, June, September and December",
