"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_indicator.label","note_source.label"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous period (%)","COICOP2018: General - Individual consumption expenditure of households","2020M02",0.17,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous period (%)","COICOP2018: 1. Food and non-alcoholic beverages","2020M02",0.61,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous period (%)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2020M02",0.34,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous period (%)","COICOP2018: 3. Clothing and footwear","2020M02",-6.02,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous period (%)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2020M02",0.29,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous period (%)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2020M02",-2.76,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous period (%)","COICOP2018: 6. Health","2020M02",0.58,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous period (%)","COICOP2018: 7. Transport","2020M02",-0.48,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous period (%)","COICOP2018: 8. Communication","2020M02",-0.02,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous period (%)","COICOP2018: 9. Recreation and culture","2020M02",3.7,"Frequency: Monthly","Repository: International Monetary Fund"
