"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_indicator.label","note_source.label"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 1. Food and non-alcoholic beverages","2020",10.88,,"Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2020",0.78,,"Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 3. Clothing and footwear","2020",2.77,,"Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2020",25.22,,"Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2020",9.29,,"Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 6. Health","2020",2.23,,"Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 7. Transport","2020",12.57,,"Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 8. Communication","2020",8.5,,"Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 9. Recreation and culture","2020",10.13,,"Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 10. Education","2020",0.98,,"Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 11. Restaurants and hotels","2020",4.42,,"Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 12. Miscellaneous goods and services","2020",12.23,,"Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 1. Food and non-alcoholic beverages","2025",47.78,,"Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2025",0.32,,"Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 3. Clothing and footwear","2025",4.56,,"Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2025",19.1,,"Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2025",11.93,,"Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 6. Health","2025",6.23,,"Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 7. Transport","2025",4.32,,"Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, country weights (%)","COICOP2018: 8. Communication","2025",1.69,,"Repository: International Monetary Fund"
