"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_indicator.label","note_source.label"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: General - Individual consumption expenditure of households","2020M02",101.73,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 1. Food and non-alcoholic beverages","2020M02",163.23,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2020M02",134.48,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 3. Clothing and footwear","2020M02",75.36,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2020M02",101.1,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2020M02",77.88,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 6. Health","2020M02",85.31,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 7. Transport","2020M02",101.08,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 8. Communication","2020M02",77.87,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 9. Recreation and culture","2020M02",98.25,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 10. Education","2020M02",109.49,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 11. Restaurants and hotels","2020M02",119.48,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 12. Miscellaneous goods and services","2020M02",86.44,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: General - Individual consumption expenditure of households","2025M01",128.51,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 1. Food and non-alcoholic beverages","2025M01",131.84,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2025M01",163.44,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 3. Clothing and footwear","2025M01",148.97,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2025M01",110.9,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2025M01",130.16,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 6. Health","2025M01",146.42,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 7. Transport","2025M01",128.46,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 8. Communication","2025M01",90.76,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 9. Recreation and culture","2025M01",109.15,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 10. Education","2025M01",139.79,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 11. Restaurants and hotels","2025M01",112.98,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 12. Miscellaneous goods and services","2025M01",157.23,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: General - Individual consumption expenditure of households","2026M02",259.1,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 1. Food and non-alcoholic beverages","2026M02",283.4,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2026M02",240.82,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 3. Clothing and footwear","2026M02",293.58,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2026M02",189.09,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2026M02",220.19,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 6. Health","2026M02",331.61,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 7. Transport","2026M02",202.05,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 8. Communication","2026M02",146.16,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 9. Recreation and culture","2026M02",198.98,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 10. Education","2026M02",168.61,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 11. Restaurants and hotels","2026M02",247.56,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 12. Miscellaneous goods and services","2026M02",277.97,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: General - Individual consumption expenditure of households","2025M09",116.32,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 1. Food and non-alcoholic beverages","2025M09",142.51,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2025M09",146.68,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 3. Clothing and footwear","2025M09",113.35,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2025M09",102.55,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2025M09",125.7,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 6. Health","2025M09",137.72,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 7. Transport","2025M09",94.02,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 8. Communication","2025M09",126.12,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 9. Recreation and culture","2025M09",89.57,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 10. Education","2025M09",139.92,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 11. Restaurants and hotels","2025M09",155.45,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 12. Miscellaneous goods and services","2025M09",125.4,"Frequency: Monthly","Repository: International Monetary Fund"
"Albania","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: General - Individual consumption expenditure of households","2026M03",102.63,"Frequency: Monthly","Repository: International Monetary Fund"
"United Arab Emirates","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: General - Individual consumption expenditure of households","2025M12",111.08,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: General - Individual consumption expenditure of households","2026M02",10714.6,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 1. Food and non-alcoholic beverages","2026M02",11625,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2026M02",7659.9,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 3. Clothing and footwear","2026M02",7824.5,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2026M02",11614.2,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2026M02",8811.5,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 6. Health","2026M02",11886.5,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 7. Transport","2026M02",11124.9,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 8. Communication","2026M02",9784.6,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 9. Recreation and culture","2026M02",9427.9,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 10. Education","2026M02",9010.4,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 11. Restaurants and hotels","2026M02",13228.7,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 12. Miscellaneous goods and services","2026M02",10477,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: General - Individual consumption expenditure of households","2026M02",166.63,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 1. Food and non-alcoholic beverages","2026M02",183.72,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2026M02",228.76,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 3. Clothing and footwear","2026M02",162.71,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2026M02",145.36,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2026M02",140.25,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 6. Health","2026M02",188,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 7. Transport","2026M02",152.8,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 8. Communication","2026M02",91.15,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 9. Recreation and culture","2026M02",150.87,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 10. Education","2026M02",177.18,"Frequency: Monthly","Repository: International Monetary Fund"
