"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Afghanistan","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2020",0.535,"Break in series","Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2020",0.5,"Break in series","Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2020",0.653,"Break in series","Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Gini index of hourly earnings of employees by sex","Total","2024",0.584,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Gini index of hourly earnings of employees by sex","Male","2024",0.582,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Gini index of hourly earnings of employees by sex","Female","2024",0.585,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Argentina","LFS - Permanent Household Survey, Urban","Gini index of hourly earnings of employees by sex","Total","2024",0.42,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Gini index of hourly earnings of employees by sex","Male","2024",0.418,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Gini index of hourly earnings of employees by sex","Female","2024",0.421,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Armenia","LFS - Household Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2017",0.311,,"Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2017",0.31,,"Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2017",0.294,,"Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Antigua and Barbuda","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2018",0.342,,"Currency: ATG - East Caribbean dollar (XCD)","Repository: ILO-STATISTICS - Micro data processing"
"Antigua and Barbuda","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2018",0.344,,"Currency: ATG - East Caribbean dollar (XCD)","Repository: ILO-STATISTICS - Micro data processing"
"Antigua and Barbuda","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2018",0.332,,"Currency: ATG - East Caribbean dollar (XCD)","Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","Gini index of hourly earnings of employees by sex","Total","2014",0.621,,"Currency: BDI - Burundian franc (BIF)","Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","Gini index of hourly earnings of employees by sex","Male","2014",0.621,,"Currency: BDI - Burundian franc (BIF)","Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","Gini index of hourly earnings of employees by sex","Female","2014",0.606,,"Currency: BDI - Burundian franc (BIF)","Repository: ILO-STATISTICS - Micro data processing"
"Benin","HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions","Gini index of hourly earnings of employees by sex","Total","2011",0.573,,"Currency: BEN - West African CFA franc (XOF)","Repository: ILO-STATISTICS - Micro data processing"
"Benin","HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions","Gini index of hourly earnings of employees by sex","Male","2011",0.513,,"Currency: BEN - West African CFA franc (XOF)","Repository: ILO-STATISTICS - Micro data processing"
"Benin","HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions","Gini index of hourly earnings of employees by sex","Female","2011",0.718,,"Currency: BEN - West African CFA franc (XOF)","Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2024",0.565,,"Currency: BFA - West African CFA franc (XOF)","Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2024",0.557,,"Currency: BFA - West African CFA franc (XOF)","Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2024",0.575,,"Currency: BFA - West African CFA franc (XOF)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2024",0.32,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2024",0.304,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2024",0.389,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Other","2024",0.179,"Unreliable","Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bahamas","LFS - Labour Force & Household Survey","Gini index of hourly earnings of employees by sex","Total","2019",0.595,,"Currency: BHS - Bahamian dollar (BSD)","Repository: ILO-STATISTICS - Micro data processing"
