"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_indicator.label","note_source.label"
"Afghanistan","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",5500,"Type of minimum wage: Sectoral (private sector) | Currency: AFG - Afghani (AFN)",
"Afghanistan","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",393.193,"Type of minimum wage: Sectoral (private sector) | Currency: AFG - Afghani (AFN)",
"Angola","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",70000,"Type of minimum wage: National floor | Currency: AGO - Kwanza (AOA)",
"Angola","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",224.946,"Type of minimum wage: National floor | Currency: AGO - Kwanza (AOA)",
"Angola","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",80.474,"Type of minimum wage: National floor | Currency: AGO - Kwanza (AOA)",
"Albania","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2025",40000,"Type of minimum wage: Singular national minimum wage | Currency: ALB - Lek (ALL)","Repository: Eurostat | Data reference period: July"
"Albania","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2025",779.319,"Type of minimum wage: Singular national minimum wage | Currency: ALB - Lek (ALL)","Repository: Eurostat | Data reference period: July"
"Andorra","OE - Department of Statistics Estimations","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",1376.27,"Type of minimum wage: Singular national minimum wage | Currency: AND - Euro (EUR)",
"Argentina","ADM - Administrative records and related sources","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",271571,"Type of minimum wage: Singular national minimum wage | Currency: ARG - Argentine peso (ARS)",
"Argentina","ADM - Administrative records and related sources","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",567.883,"Type of minimum wage: Singular national minimum wage | Currency: ARG - Argentine peso (ARS)",
"Argentina","ADM - Administrative records and related sources","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",296.898,"Type of minimum wage: Singular national minimum wage | Currency: ARG - Argentine peso (ARS)",
"Armenia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",75000,"Type of minimum wage: Singular national minimum wage | Currency: ARM - Dram (AMD)",
"Armenia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",475.902,"Type of minimum wage: Singular national minimum wage | Currency: ARM - Dram (AMD)",
"Armenia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",190.971,"Type of minimum wage: Singular national minimum wage | Currency: ARM - Dram (AMD)",
"Antigua and Barbuda","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",1558.8,"Type of minimum wage: Singular national minimum wage | Currency: ATG - East Caribbean dollar (XCD) | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks",
"Antigua and Barbuda","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",702.092,"Type of minimum wage: Singular national minimum wage | Currency: ATG - East Caribbean dollar (XCD) | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks",
