"ref_area.label","source.label","indicator.label","time","obs_value","note_indicator.label","note_source.label"
"Afghanistan","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",5500,"Type of minimum wage: Sectoral (private sector) | Currency: AFG - Afghani (AFN)",
"Angola","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",70000,"Type of minimum wage: National floor | Currency: AGO - Kwanza (AOA)",
"Albania","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",40000,"Type of minimum wage: Singular national minimum wage | Currency: ALB - Lek (ALL)","Repository: Eurostat | Data reference period: July"
"Andorra","OE - Department of Statistics Estimations","Statutory nominal gross monthly minimum wage (local currency)","2024",1376.27,"Type of minimum wage: Singular national minimum wage | Currency: AND - Euro (EUR)",
"Argentina","ADM - Administrative records and related sources","Statutory nominal gross monthly minimum wage (local currency)","2024",271571,"Type of minimum wage: Singular national minimum wage | Currency: ARG - Argentine peso (ARS)",
"Armenia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",75000,"Type of minimum wage: Singular national minimum wage | Currency: ARM - Dram (AMD)",
"Antigua and Barbuda","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",1558.8,"Type of minimum wage: Singular national minimum wage | Currency: ATG - East Caribbean dollar (XCD) | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks",
"Australia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",4023.436,"Type of minimum wage: National floor | Currency: AUS - Australian dollar (AUD) | ILO calculation: Weekly figure multiplied by 4.33 weeks",
"Azerbaijan","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",345,"Type of minimum wage: Singular national minimum wage | Currency: AZE - Azerbaijani manat (AZN)",
"Burundi","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",4156.8,"Type of minimum wage: Regional (urban areas) | Currency: BDI - Burundian franc (BIF) | ILO calculation: Daily figure multiplied by 6 days and 4.33 weeks",
"Belgium","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",2112,"Type of minimum wage: Singular national minimum wage | Currency: BEL - Euro (EUR)","Repository: Eurostat | Data reference period: July | Institutional sector coverage: Private sector only"
"Benin","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",52000,"Type of minimum wage: Singular national minimum wage | Currency: BEN - West African CFA franc (XOF)",
"Burkina Faso","ADM - Administrative records and related sources","Statutory nominal gross monthly minimum wage (local currency)","2024",45000,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: BFA - West African CFA franc (XOF)","Economic activity coverage: Excluding agriculture"
"Bangladesh","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",12500,"Type of minimum wage: Singular national minimum wage | Currency: BGD - Taka (BDT)",
"Bulgaria","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",551,"Type of minimum wage: Singular national minimum wage | Currency: BGR - Lev (BGN)","Repository: Eurostat | Data reference period: July"
"Bahrain","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",300,"Currency: BHR - Bahraini dinar (BHD)","Repository: Annual estimates for 2025 are 11-month averages that exclude October. Data for October 2025 were not collected due to the federal government shutdown | Institutional sector coverage: Public sector only"
"Bahamas","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",1125.8,"Type of minimum wage: Singular national minimum wage | Currency: BHS - Bahamian dollar (BSD) | ILO calculation: Weekly figure multiplied by 4.33 weeks",
"Bosnia and Herzegovina","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",626,"Type of minimum wage: Singular national minimum wage | Currency: BIH - Marka (BAM)",
