"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Afghanistan","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2021",41.79,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2021",42.64,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2021",28.05,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Angola","LFS - Employment Survey","Mean weekly hours actually worked per employee by sex","Total","2025",49.98,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours actually worked per employee by sex","Male","2025",52.03,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Mean weekly hours actually worked per employee by sex","Female","2025",45.73,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2024",43.6,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2024",44.59,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2024",42.45,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2024",50.91,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2024",51.29,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2024",49.25,,,"Repository: ILO-STATISTICS - Micro data processing"
"Argentina","LFS - Permanent Household Survey, Urban","Mean weekly hours actually worked per employee by sex","Total","2024",36.7,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Mean weekly hours actually worked per employee by sex","Male","2024",40.99,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Mean weekly hours actually worked per employee by sex","Female","2024",31.52,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Armenia","HIES - Households Living Conditions Survey","Mean weekly hours actually worked per employee by sex","Total","2018",45.97,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Mean weekly hours actually worked per employee by sex","Male","2018",48.44,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Mean weekly hours actually worked per employee by sex","Female","2018",42.91,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Antigua and Barbuda","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2018",40.08,,,"Repository: ILO-STATISTICS - Micro data processing"
"Antigua and Barbuda","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2018",40.12,,,"Repository: ILO-STATISTICS - Micro data processing"
"Antigua and Barbuda","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2018",40.03,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2025",32.62,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2025",35.72,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2025",29.22,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","Mean weekly hours actually worked per employee by sex","Total","2014",47.51,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","Mean weekly hours actually worked per employee by sex","Male","2014",49.07,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","Mean weekly hours actually worked per employee by sex","Female","2014",42.63,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2024",33.46,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2024",35.82,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2024",30.91,,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions","Mean weekly hours actually worked per employee by sex","Total","2011",42.75,,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions","Mean weekly hours actually worked per employee by sex","Male","2011",42.79,,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions","Mean weekly hours actually worked per employee by sex","Female","2011",42.62,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2024",51.2,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2024",52.65,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2024",48.24,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2024",50.93,,,"Repository: ILO-STATISTICS - Micro data processing"
