"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (Skill level): Total","2010",3013,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (Skill level): Skill level 1 ~ low","2010",1574,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (Skill level): Total","2010",3338,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (Skill level): Skill level 1 ~ low","2010",1882,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (Skill level): Total","2010",2713,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (Skill level): Skill level 1 ~ low","2010",1351,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): Total","2010",3013,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 1. Managers","2010",6022,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 2. Professionals","2010",5123,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 3. Technicians and associate professionals","2010",3972,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 4. Clerical support workers","2010",2793,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 5. Service and sales workers","2010",2124,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","2010",2217,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 7. Craft and related trades workers","2010",2461,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","2010",2310,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 9. Elementary occupations","2010",1574,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 0. Armed forces occupations","2010",5537,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): X. Not elsewhere classified","2010",1995,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (ISCO-08): Total","2010",3338,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
